edge_type_id target_query source_query dynamics_params target_sections syn_weight delay distance_range model_template
100 pop_name=='layer2_CP' pop_name=='layer2_CP' PING_ExcToExc.json ['soma'] 0.0 0 "[0.0, 999.9]" exp2syn
101 pop_name=='layer2_CS' pop_name=='layer2_CP' PING_ExcToExc.json ['soma'] 0.0 0 "[0.0, 999.9]" exp2syn
102 pop_name=='layer2_FSI' pop_name=='layer2_CP' PING_ExcToInh.json ['soma'] 0.0125 0 "[0.0, 999.9]" exp2syn
103 pop_name=='layer2_CP' pop_name=='layer2_CS' PING_ExcToExc.json ['soma'] 0.0 0 "[0.0, 999.9]" exp2syn
104 pop_name=='layer2_CS' pop_name=='layer2_CS' PING_ExcToExc.json ['soma'] 0.0 0 "[0.0, 999.9]" exp2syn
105 pop_name=='layer2_FSI' pop_name=='layer2_CS' PING_ExcToInh.json ['soma'] 0.0125 0 "[0.0, 999.9]" exp2syn
106 pop_name=='layer6_CP' pop_name=='layer6_CP' PING_ExcToExc.json ['soma'] 0.0 0 "[0.0, 999.9]" exp2syn
107 pop_name=='layer6_CS' pop_name=='layer6_CP' PING_ExcToExc.json ['soma'] 0.0 0 "[0.0, 999.9]" exp2syn
108 pop_name=='layer6_FSI' pop_name=='layer6_CP' PING_ExcToInh.json ['soma'] 0.0125 0 "[0.0, 999.9]" exp2syn
109 pop_name=='layer6_CP' pop_name=='layer6_CS' PING_ExcToExc.json ['soma'] 0.0 0 "[0.0, 999.9]" exp2syn
110 pop_name=='layer6_CS' pop_name=='layer6_CS' PING_ExcToExc.json ['soma'] 0.0 0 "[0.0, 999.9]" exp2syn
111 pop_name=='layer6_FSI' pop_name=='layer6_CS' PING_ExcToInh.json ['soma'] 0.0125 0 "[0.0, 999.9]" exp2syn
112 pop_name=='layer2_CP' pop_name=='layer2_FSI' PING_InhToExc.json ['soma'] 0.025 0 "[0.0, 999.9]" exp2syn
113 pop_name=='layer2_CS' pop_name=='layer2_FSI' PING_InhToExc.json ['soma'] 0.025 0 "[0.0, 999.9]" exp2syn
114 pop_name=='layer2_FSI' pop_name=='layer2_FSI' PING_InhToInh.json ['soma'] 0.008 0 "[0.0, 999.9]" exp2syn
115 pop_name=='layer6_CP' pop_name=='layer6_FSI' PING_InhToExc.json ['soma'] 0.025 0 "[0.0, 999.9]" exp2syn
116 pop_name=='layer6_CS' pop_name=='layer6_FSI' PING_InhToExc.json ['soma'] 0.025 0 "[0.0, 999.9]" exp2syn
117 pop_name=='layer6_FSI' pop_name=='layer6_FSI' PING_InhToInh.json ['soma'] 0.008 0 "[0.0, 999.9]" exp2syn
